id,date,publication,title,url,type,language,person_or_company,source,thread_id,attachment_note,confidence,notes
2015-05-journaldugeek-lima-kickstarter-2geeks-22emplois,2015-05-29,Journal du Geek,"Lima : ""Mon expérience sur Kickstarter : de 2 geeks à 22 emplois""",https://www.journaldugeek.com/2015/05/29/lima-mon-experience-sur-kickstarter-de-2-geeks-a-22-emplois/,online,fr,severin-marcombes;lima,web-search,,,confirmed,"Marcombes recounts scaling from 2 to 22 employees via Kickstarter; $1.2M from 12,840 backers in 138 countries; first French company to pass $1M on a crowdfunding platform."
2015-itespresso-lima-french-tech-premier-noel,2015-12,ITespresso,Lima : comment cette start-up de la French Tech prépare son premier Noël,https://www.itespresso.fr/lima-start-up-french-tech-premier-noel-113075.html/amp,online,fr,lima;severin-marcombes,web-search,,,confirmed,"Profile tracing Lima from the 2011 ForgetBox origins through the Kickstarter and into a first Christmas retail push; 24 staff incl. ex-Apple/Oracle/Dassault, 30,000 units sold, 800-tester beta from July 2014."
2016-10-maddyness-lima-success-story-francaise-cloud,2016-10-20,Maddyness,"Où en est Lima, la success-story française du cloud ?",https://www.maddyness.com/2016/10/20/maddystory-lima-success-story-francaise-vie-dure-cloud/,online,fr,lima;severin-marcombes,web-search,,,confirmed,"Retrospective on Lima's path from 2011 founding through the record Kickstarter, the Partech round, and 50,000 units sold by 2016; quotes Marcombes on the original problem he wanted to solve."
2016-11-techcrunch-lima-ultra-129,2016-11-14,TechCrunch,Lima beefs up its Dropbox alternative with the $129 Lima Ultra,https://techcrunch.com/2016/11/14/lima-beefs-up-its-dropbox-alternative-with-the-129-lima-ultra/,online,en,lima,web-search,,,confirmed,"By Romain Dillet; covers the faster/pricier Lima Ultra hardware refresh (quad-core CPU, Gigabit Ethernet), shipping to 25 countries by Dec 2016."
2015-innovatorsunder35-severin-marcombes-profile,2015,MIT Technology Review (Innovators Under 35),Séverin Marcombes — Innovators Under 35,https://www.innovatorsunder35.com/the-list/severin-marcombes/,online,en,severin-marcombes;lima,web-search,,,confirmed,"Official Innovators Under 35 (France, 2015) honoree profile for Marcombes/Lima, category Computer & electronics hardware; judge quote from Franck Le Ouay (Criteo)."
2015-07-techcrunch-lima-finally-ships-kickstarter-backers,2015-07-21,TechCrunch,"Lima Finally Ships Its Dropbox Alternative To Its Kickstarter Backers, Sort Of",https://techcrunch.com/2015/07/21/lima-finally-ships-its-dropbox-alternative-to-its-kickstarter-backers-sort-of/,online,en,lima,web-search,,,confirmed,"Covers hardware shipping to all 12,840 backers two years after the campaign, with full software/file-system integration still pending until September; frames it as a cautionary tale about launching crowdfunding too early."
2014-12-lesobjetsconnectes-interview-marcombes-lima,2014-12-17,Les Objets Connectés,"Interview de Séverin Marcombes, co-fondateur et CEO de Lima.",https://www.les-objets-connectes.fr/severin-marcombes-lima-interview/,online,fr,severin-marcombes;lima,web-search,,,confirmed,"Interview on what Lima is, what drove Kickstarter success (disruptive product, strong video, community from day one), and social-media/behind-the-scenes strategy."
2019-02-macg-lima-ferme-service-inutilisable,2019-02-13,MacGeneration,"Lima ferme, le service inutilisable à partir du 1er mars",https://www.macg.co/logiciels/2019/02/lima-ferme-le-service-inutilisable-partir-du-1er-mars-105242,online,fr,lima;severin-marcombes,web-search,,,confirmed,"Reports Lima shutdown for financing reasons per Marcombes; servers going offline March 1, 2019, cutting off ~80,000 users worldwide, who must export data before the deadline."
2019-02-nextinpact-lima-ferme-portes-80000-utilisateurs,2019-02-14,Next (ex-Next INpact),"Lima ferme ses portes, plus de 80 000 utilisateurs sur le carreau",https://next.ink/brief_article/lima-ferme-ses-portes-plus-de-80-000-utilisateurs-sur-le-carreau/,online,fr,lima;severin-marcombes,web-search,,,confirmed,"Quotes Marcombes' Medium closure post; cites $3.7M raised in the 2013 Kickstarter and full infrastructure shutdown from March 1, 2019."
2019-02-rudebaguette-lima-cloud-personnel-fermeture,2019-02-26,Rude Baguette,"Lima, la start-up française au routeur cloud personnel, met la clé sous la porte",https://www.rudebaguette.com/2019/02/lima-cloud-personnel-fermeture/,online,fr,lima;severin-marcombes,web-search,,,confirmed,"Closure recap: founded 2011 by Marcombes, €3.5M raised, 60 employees, 80,000 customers; first French startup past $1M on Kickstarter (2013); quotes Marcombes' closure statement."
2019-02-clubic-lima-termine-cloud-personnel,2019-02-18,Clubic,Lima : c'est terminé pour le projet de cloud personnel malgré son kickstarter réussi,https://www.clubic.com/pro/actualite-e-business/investissement/actualite-850875-clap-fin-lima-projet-cloud-personnel-malgre-souleve-kickstarter.html,online,fr,lima;severin-marcombes,web-search,,,confirmed,"Closure coverage; ~80,000 active users affected, users asked (unsuccessfully) for the code to be open-sourced; quotes Marcombes' 'financial problems we couldn't overcome' statement."
2022-09-maddyness-dix-ans-apres-marcombes-creative-robots,2022-09-14,Maddyness,"Dix ans après : que devient Séverin Marcombes, le fondateur de Lima ?",https://www.maddyness.com/2022/09/14/severin-marcombes-lima-creative-robots/,online,fr,severin-marcombes;lima,web-search,,,confirmed,"Ten-years-later retrospective covering Lima's rise and cash-flow failure, plus Marcombes' new venture Creative Robots (AI-focused, landing page live); quote: 'Je revivrais bien la plupart de l'aventure… modulo peut-être la partie finale.'"
2015-06-usine-digitale-portrait-severin-marcombes-innovateurs,2015-06,Usine Digitale,"Severin Marcombes, Lima - Découvrez les 10 jeunes innovateurs français de l'année",https://www.usine-digitale.fr/photos/portraits/decouvrez-les-10-jeunes-innovateurs-francais-de-l-annee.325763/severin-marcombes-lim.7,online,fr,severin-marcombes;lima,web-search,,,mentioned,"WebFetch returned HTTP 403; search snippet confirms this is Marcombes' portrait card (age 27) within Usine Digitale's MIT Innovators Under 35 France 2015 slideshow, describing Lima's device-unification pitch."
2014-11-businesswire-lima-ces-innovation-award-alt,2014-11-11,Business Wire,Lima named as 2015 CES Innovation Awards Honoree in two categories,http://press.meetlima.com/89888-lima-named-as-2015-ces-innovation-awards-honoree-in-two-categories,online,en,lima,web-search,,,mentioned,"Same CES 2015 Innovation Award Honoree announcement (Software & Mobile Apps + Computer Accessories categories) syndicated on Lima's own press-room mirror of the Business Wire release; original businesswire.com URL returned HTTP 403 on fetch."
2015-usinenouvelle-lima-datacenter-perso,2015,L'Usine Nouvelle,"Lima, la start-up française qui a inventé le data-center «perso»",https://www.usinenouvelle.com/article/lima-la-start-up-francaise-qui-a-invente-le-data-center-perso.N1858322,online,fr,lima;severin-marcombes,web-search,,,mentioned,"WebFetch returned HTTP 403; search snippet confirms article on Lima's July 2013 Kickstarter ($1.2M/12,800 backers) and subsequent $2.5M Partech Ventures round, framing the device as a personal mini-datacenter."
2015-industrie-techno-10-jeunes-innovateurs-mit-marcombes,2015,Industrie & Technologies,Les 10 jeunes innovateurs français distingués par le MIT,https://www.industrie-techno.com/article/les-10-jeunes-innovateurs-francais-distingues-par-le-mit.37666,online,fr,severin-marcombes;lima,web-search,,,mentioned,"Direct fetch failed (no response); search snippet confirms Marcombes (27) profiled among the 2015 MIT Technology Review Innovators Under 35 France cohort (award backed by BNP Paribas' L'Atelier), quoting him: 'Nous ne synchronisons pas qu'un seul dossier, mais l'ensemble de l'appareil. Nous sommes les seuls à faire ce qu'on appelle l'unification des appareils.'"
2014-06-clubic-pulse-contest-lima-3eme-objets-connectes,2014-06-11,Clubic,Pulse Contest : les startups françaises qui se sont démarquées,https://www.clubic.com/pro/entrepreneur-et-creation-entreprise/actualite-708771-resultats-pulse-contest.html,online,fr,lima,web-search,,,confirmed,"Covers the Huawei/La Cuisine du Web 'Pulse Contest'; Lima placed 3rd in the Connected Objects category (EUR15k) plus a EUR15k special press prize from Clubic Pro, Acteurs de l'Economie and Les Echos."
2016-03-slrlounge-lima-personal-nas-cloud-review,2016-03-15,SLR Lounge,Lima | A Personal NAS/Cloud Creating Device With The Familiarity Of iOS,https://www.slrlounge.com/lima-personal-nascloud-creating-device-familiarity-ios/,online,en,lima,web-search,,,confirmed,"Photography-gear review (by Kishore Sawh) of the Lima device for photographers wanting remote access to RAW libraries; notes Kickstarter origin and roughly a year's shipping delay; rates it 3/5, flags slow retrieval of newly uploaded files."
