id,date,publication,title,url,link,image,type,language,person_or_company,source,thread_id,attachment_note,confidence,hidden,pub_rank,notes
2014-06-zonenumerique-lima-levee-fonds-1,2014-06,Zone Numerique,Lima développe un boîtier connecté qui rassemble la mémoire des devices,http://www.zone-numerique.com/lima-developpe-un-boitier-connecte-qui-rassemble-la-memoire-des-devices.html,http://www.zone-numerique.com/lima-developpe-un-boitier-connecte-qui-rassemble-la-memoire-des-devices.html,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-zonenumerique-lima-levee-fonds-2,2014-06,Zone Numerique,Stockage cloud privé: Lima lève 2.5 millions de dollars,http://www.zone-numerique.com/stockage-cloud-prive-lima-leve-2-5-millions-de-dollars.html,http://www.zone-numerique.com/stockage-cloud-prive-lima-leve-2-5-millions-de-dollars.html,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Second distinct article same outlet same roundup
2014-06-lesnouveautes-lima-levee-fonds,2014-06,Lesnouveautes.fr,Lima lève 2.5 millions de dollars pour unifier la mémoire des devices,http://lesnouveautes.fr/nouvelles/lima-leve-25-millions-de-dollars-pour-unifier-la-memoire-des-devices,http://lesnouveautes.fr/nouvelles/lima-leve-25-millions-de-dollars-pour-unifier-la-memoire-des-devices,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-netstream-lima-levee-fonds,2014-06,Netstream.fr,Lima lève 2.5 millions de dollars pour unifier la mémoire des devices,http://www.net-stream.fr/Net/Business-du-Net/Lima-leve-2-5-millions-de-dollars-pour-unifier-la-memoire-des-devices_21_202__318064.html,http://www.net-stream.fr/Net/Business-du-Net/Lima-leve-2-5-millions-de-dollars-pour-unifier-la-memoire-des-devices_21_202__318064.html,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-secuobs-lima-levee-fonds,2014-06,Secuobs.com,Lima levée de fonds (revue de presse),http://www.secuobs.com/revue/news/517253.shtml,http://www.secuobs.com/revue/news/517253.shtml,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-linformatique-org-lima-levee-fonds,2014-06,LInformatique.org,Bientôt une solution pour pouvoir se créer un système de stockage en ligne privé,http://www.linformatique.org/bientot-solution-pouvoir-se-creer-systeme-stockage-en-ligne-prive/,http://www.linformatique.org/bientot-solution-pouvoir-se-creer-systeme-stockage-en-ligne-prive/,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-infosmobiles-lima-levee-fonds,2014-06,Infos Mobiles,Lima: Dropbox personnel en connectant vos vieux disques durs,http://www.infos-mobiles.com/lima/lima-dropbox-personnel-en-connectant-vos-vieux-disques-durs/67357,http://www.infos-mobiles.com/lima/lima-dropbox-personnel-en-connectant-vos-vieux-disques-durs/67357,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-goodmorningcrowdfunding-lima-levee-fonds,2014-06,Good Morning Crowdfunding,Levée de fonds: la start-up Lima lève 2.5M de dollars auprès de Partech Ventures,http://www.goodmorningcrowdfunding.com/levee-de-fonds-la-start-up-lima-leve-25m-de-dollars-aupres-de-partech-ventures/,http://www.goodmorningcrowdfunding.com/levee-de-fonds-la-start-up-lima-leve-25m-de-dollars-aupres-de-partech-ventures/,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-eclairagecommerce-lima-levee-fonds,2014-06,Eclairage Commerce,Lima levée de fonds (syndication Clubic),,,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,mentioned,true,999,"Funding round announcement, syndicated Clubic content. Original URL was corrupted in extraction (fragment: eclairageprofessionnel.fr/@Clubic-...) and could not be reliably reconstructed; needs manual lookup before publishing."
2014-06-mesactus-lima-levee-fonds,2014-06,Mes Actus.net,Lima développe un boîtier connecté qui rassemble la mémoire,http://mes-actus.fr/lima-developpe-un-boitier-connecte-qui-rassemble-la-memoire-des-zone-numerique/,http://mes-actus.fr/lima-developpe-un-boitier-connecte-qui-rassemble-la-memoire-des-zone-numerique/,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-tropgeek-lima-levee-fonds,2014-06,Tropgeek.com,Financement: comment Lima a mixé crowdfunding et capital-risque,http://www.tropgeek.com/news/Financement+%3A+comment+Lima+a+mix%C3%A9+crowdfunding+et+capital-risque,http://www.tropgeek.com/news/Financement+%3A+comment+Lima+a+mix%C3%A9+crowdfunding+et+capital-risque,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,999,Funding round announcement roundup
2014-06-revue-presse-lima-pdf,2014-06,Rumeur Publique press review PDF,Revue de Presse Lima Juin 2014 (compiled clippings PDF),,,,print,fr,lima,rumeur-publique-email,146fbe4f2b63f8e7,Revue de Presse Lima Juin 2014.pdf,mentioned,true,999,"Attached compiled press-review PDF covering June 2014; individual outlets not itemized in email body, need to open PDF for specifics"
2014-06-techcrunch-lima-raises-2point5-million-partech,2014-06-04,TechCrunch,"Lima Raises $2.5 Million For Its Personal, Subscription-Free Dropbox",https://techcrunch.com/2014/06/04/lima-raises-2-5-million-for-its-personal-subscription-free-dropbox/,https://techcrunch.com/2014/06/04/lima-raises-2-5-million-for-its-personal-subscription-free-dropbox/,https://techcrunch.com/wp-content/uploads/2014/06/lima-2.jpg,online,en,lima,web-search,,,confirmed,false,2,"Covers the Partech Ventures Series A; quotes Marcombes: 'We are now producing 17,000 devices instead of 1,000 as we initially expected.'"
2014-06-lefigaro-lima-levee-fonds,2014-06-04,Le Figaro,Lima rassemble la mémoire des objets connectés,http://www.lefigaro.fr/secteur/high-tech/2014/06/04/01007-20140604ARTFIG00370-lima-rassemble-la-memoire-des-objets-connectes.php,http://www.lefigaro.fr/secteur/high-tech/2014/06/04/01007-20140604ARTFIG00370-lima-rassemble-la-memoire-des-objets-connectes.php,https://i.f1g.fr/media/figarofr/1200x630_crop/2014/06/04/PHO62bf11dc-ebfb-11e3-841a-3c22685bbeff-805x453.jpg,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,false,8,Funding round announcement roundup
2014-06-clubic-lima-levee-fonds,2014-06-04,Clubic,Lima (ex-ForgetBox) lève 2.5M pour son cloud personnel,http://pro.clubic.com/actualite-e-business/investissement/actualite-707251-lima-ex-forgetbox-leve-2-5-cloud-personnel.html,http://pro.clubic.com/actualite-e-business/investissement/actualite-707251-lima-ex-forgetbox-leve-2-5-cloud-personnel.html,https://pic.clubic.com/v1/images/1876284/raw,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,false,15,Funding round announcement roundup
2014-06-maddyness-lima-levee-fonds,2014-06-04,Maddyness,Finance: Lima lève 2.5 millions de Partech Ventures,http://www.maddyness.com/finance/2014/06/04/finance-lima-levee-25-millions-de-partech-ventures/,http://www.maddyness.com/finance/2014/06/04/finance-lima-levee-25-millions-de-partech-ventures/,,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,true,13,Funding round announcement roundup
2014-06-rudebaguette-lima-levee-fonds,2014-06-04,Rude Baguette,France's biggest Kickstarter success Lima raises 2.5M Series from Partech Ventures,http://www.rudebaguette.com/2014/06/04/frances-biggest-kickstarter-success-lima-raises-2-5m-series-partech-ventures/,http://www.rudebaguette.com/2014/06/04/frances-biggest-kickstarter-success-lima-raises-2-5m-series-partech-ventures/,https://www.rudebaguette.com/wp-content/uploads/2014/06/132379-782a3650-a5ae-43fa-a6dc-6b39ed9575b2-qn6a9125ok-large-1401889067-e1401900355746.jpg,online,en,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,false,18,Funding round announcement roundup
2014-06-frenchweb-lima-leve-2point5-millions-partech,2014-06-05,FrenchWeb,"Cloud personnel : le Français Lima lève 2,5 millions de dollars auprès de Partech",https://www.frenchweb.fr/home-serveur-le-francais-lima-leve-25-millions-de-dollars-aupres-de-partech/154990,https://www.frenchweb.fr/home-serveur-le-francais-lima-leve-25-millions-de-dollars-aupres-de-partech/154990,https://i0.wp.com/www.frenchweb.fr/wp-content/uploads/2014/06/Lima-rose.jpg?fit=650%2C363&ssl=1,online,fr,lima;severin-marcombes,web-search,,,confirmed,false,14,French-language coverage of the same Partech Ventures $2.5M round; quotes Marcombes on allocating resources to product development ahead of global launch.
2014-06-usine-digitale-lima-leve-2point5-millions,2014-06-05,Usine Digitale,"Lima lève 2,5 millions de dollars pour lancer sa commercialisation",https://www.usine-digitale.fr/editorial/lima-leve-2-5-millions-de-dollars-pour-lancer-sa-commercialisation.N267137,https://www.usine-digitale.fr/editorial/lima-leve-2-5-millions-de-dollars-pour-lancer-sa-commercialisation.N267137,,online,fr,lima,web-search,,,mentioned,true,999,WebFetch returned HTTP 403 (paywall/bot block) so page text could not be directly verified; search snippet corroborates Partech round and team of 16 (8 in dev).
2014-06-usinenouvelle-lima-levee-fonds,2014-06-09,L'Usine Nouvelle / Usine Digitale,"Lima lève 2,5 millions de dollars pour lancer sa commercialisation",http://www.usine-digitale.fr/article/lima-leve-2-5-millions-de-dollars-pour-lancer-sa-commercialisation.N267137,http://www.usine-digitale.fr/article/lima-leve-2-5-millions-de-dollars-pour-lancer-sa-commercialisation.N267137,,online,fr,lima,rumeur-publique-email,1468177931338d2e,,confirmed,true,999,Forwarded directly by Rumeur Publique with full article text
2014-06-clubic-pulse-contest-lima-3eme-objets-connectes,2014-06-11,Clubic,Pulse Contest : les startups françaises qui se sont démarquées,https://www.clubic.com/pro/entrepreneur-et-creation-entreprise/actualite-708771-resultats-pulse-contest.html,https://www.clubic.com/pro/entrepreneur-et-creation-entreprise/actualite-708771-resultats-pulse-contest.html,,online,fr,lima,web-search,,,confirmed,true,15,"Covers the Huawei/La Cuisine du Web 'Pulse Contest'; Lima placed 3rd in the Connected Objects category (EUR15k) plus a EUR15k special press prize from Clubic Pro, Acteurs de l'Economie and Les Echos."
2014-06-lesechos-lima-levee-fonds,2014-06-18,Les Echos,Le boîtier de Lima centralise toutes vos données personnelles,http://business.lesechos.fr/entrepreneurs/innovation-recherche/0203545601406-le-boitier-de-lima-centralise-toutes-vos-donnees-personnelles-100791.php,https://web.archive.org/web/20181003143235/https://business.lesechos.fr/entrepreneurs/innovation-recherche/0203545601406-le-boitier-de-lima-centralise-toutes-vos-donnees-personnelles-100791.php,https://web.archive.org/web/20181003143235im_/https://business.lesechos.fr/media,online,fr,lima,rumeur-publique-email,1466c932e5b48751,,confirmed,false,7,Follow-up article in same recap thread
2013-06-3dvf-futur-en-seine-palmares-lima-or,2014-06-25,3DVF,Futur en Seine : le palmarès,https://3dvf.com/actualite-10004-futur-en-seine-palmares-html/,https://3dvf.com/actualite-10004-futur-en-seine-palmares-html/,,online,fr,lima,web-search,,,confirmed,true,999,"Lists Lima as gold-medal Jury Prize winner at Futur en Seine 2014 (festival ran June 12-22, 2014); described as the box unifying memory across a user's devices."
2014-11-businesswire-lima-ces-2015-innovation-award,2014-11-11,Business Wire,Lima named as 2015 CES Innovation Awards Honoree in two categories,https://www.businesswire.com/news/home/20141111006312/en/Lima-named-as-2015-CES-Innovation-Awards-Honoree-in-two-categories,https://www.businesswire.com/news/home/20141111006312/en/Lima-named-as-2015-CES-Innovation-Awards-Honoree-in-two-categories,,online,en,lima,web-search,,,mentioned,true,999,WebFetch returned HTTP 403; search snippet confirms Lima named CES 2015 Innovation Award Honoree in Software & Mobile Apps and Computer Accessories categories.
2014-11-businesswire-lima-ces-innovation-award-alt,2014-11-11,Business Wire,Lima named as 2015 CES Innovation Awards Honoree in two categories,http://press.meetlima.com/89888-lima-named-as-2015-ces-innovation-awards-honoree-in-two-categories,http://press.meetlima.com/89888-lima-named-as-2015-ces-innovation-awards-honoree-in-two-categories,,online,en,lima,web-search,,,mentioned,true,999,Same CES 2015 Innovation Award Honoree announcement (Software & Mobile Apps + Computer Accessories categories) syndicated on Lima's own press-room mirror of the Business Wire release; original businesswire.com URL returned HTTP 403 on fetch.
2014-11-rtl-lima-boitier,2014-11-18,RTL,Le Lima un boîtier qui rassemble le contenu de tous vos appareils électroniques,http://www.rtl.fr/actu/sciences-environnement/le-lima-un-boitier-qui-rassemble-le-contenu-de-tous-vos-appareils-electroniques-7775374172,http://www.rtl.fr/actu/sciences-environnement/le-lima-un-boitier-qui-rassemble-le-contenu-de-tous-vos-appareils-electroniques-7775374172,https://images.rtl.fr/~c/2000v2000/rtl/www/1237073-lima-sera-disponible-au-printemps-prochain.jpg,online,fr,lima,rumeur-publique-email,149c2286f394a6c8,,confirmed,false,10,Radio segment (RTL chronicle by Sophie Jousselin) with accompanying online article/clip
2014-12-lesobjetsconnectes-interview-marcombes-lima,2014-12-17,Les Objets Connectés,"Interview de Séverin Marcombes, co-fondateur et CEO de Lima.",https://www.les-objets-connectes.fr/severin-marcombes-lima-interview/,https://www.les-objets-connectes.fr/severin-marcombes-lima-interview/,,online,fr,severin-marcombes;lima,web-search,,,confirmed,true,999,"Interview on what Lima is, what drove Kickstarter success (disruptive product, strong video, community from day one), and social-media/behind-the-scenes strategy."
2014-12-lefigaro-frenchtech-lasvegas,2014-12-18,Le Figaro,La French Tech va faire son show à Las Vegas,http://www.lefigaro.fr/secteur/high-tech/2014/12/18/01007-20141218ARTFIG00117-la-french-tech-va-faire-son-show-a-las-vegas.php,http://www.lefigaro.fr/secteur/high-tech/2014/12/18/01007-20141218ARTFIG00117-la-french-tech-va-faire-son-show-a-las-vegas.php,https://i.f1g.fr/media/figarofr/1200x630_crop/2014/12/18/PHO56e81488-861c-11e4-aabb-daf5cf412bd2-805x453.jpg,online,fr,lima,rumeur-publique-email,14a5d102a7ee9e90,,confirmed,false,8,Article ran both online and in print same day per Rumeur Publique; Lima mentioned in French Tech/CES roundup
2014-12-nouvelobs-print-frenchtech,2014-12-24,Le Nouvel Obs,Nouvel Obs French Tech clipping (24/12/2014),,,,print,fr,lima,rumeur-publique-email,14aca8150ea23bdb,NouvelObs_FrenchTech_241214.pdf,confirmed,true,999,Print clipping attached; part of Noel de la French Tech coverage
2015-innovatorsunder35-severin-marcombes-profile,2015,MIT Technology Review (Innovators Under 35),Séverin Marcombes — Innovators Under 35,https://www.innovatorsunder35.com/the-list/severin-marcombes/,https://www.innovatorsunder35.com/the-list/severin-marcombes/,https://iu35-prod.s3.amazonaws.com/images/Innovator_FRA_2015_severin-connected.max-1200x630.jpg,online,en,severin-marcombes;lima,web-search,,,confirmed,false,1,"Official Innovators Under 35 (France, 2015) honoree profile for Marcombes/Lima, category Computer & electronics hardware; judge quote from Franck Le Ouay (Criteo)."
2015-usinenouvelle-lima-datacenter-perso,2015,L'Usine Nouvelle,"Lima, la start-up française qui a inventé le data-center «perso»",https://www.usinenouvelle.com/article/lima-la-start-up-francaise-qui-a-invente-le-data-center-perso.N1858322,https://www.usinenouvelle.com/article/lima-la-start-up-francaise-qui-a-invente-le-data-center-perso.N1858322,,online,fr,lima;severin-marcombes,web-search,,,mentioned,true,999,"WebFetch returned HTTP 403; search snippet confirms article on Lima's July 2013 Kickstarter ($1.2M/12,800 backers) and subsequent $2.5M Partech Ventures round, framing the device as a personal mini-datacenter."
2015-industrie-techno-10-jeunes-innovateurs-mit-marcombes,2015,Industrie & Technologies,Les 10 jeunes innovateurs français distingués par le MIT,https://www.industrie-techno.com/article/les-10-jeunes-innovateurs-francais-distingues-par-le-mit.37666,https://www.industrie-techno.com/article/les-10-jeunes-innovateurs-francais-distingues-par-le-mit.37666,,online,fr,severin-marcombes;lima,web-search,,,mentioned,true,999,"Direct fetch failed (no response); search snippet confirms Marcombes (27) profiled among the 2015 MIT Technology Review Innovators Under 35 France cohort (award backed by BNP Paribas' L'Atelier), quoting him: 'Nous ne synchronisons pas qu'un seul dossier, mais l'ensemble de l'appareil. Nous sommes les seuls à faire ce qu'on appelle l'unification des appareils.'"
2015-01-economist-lima-ces,2015-01,The Economist,US coverage of Lima at CES 2015,http://www.economist.com/news/business-and-finance/21638048,http://www.economist.com/news/business-and-finance/21638048,,online,en,lima,rumeur-publique-email,14aca8150ea23bdb,,confirmed,false,4,"Part of CES 2015 coverage report relayed to Lima team by Romain Mabil (Rumeur Publique), originally compiled by Airfoil (Lima's US PR agency)"
2015-01-syndication-cluster-ces-techcrunch-cnet,2015-01,TechCrunch / CNET syndication cluster (Tekkie.co," Generalor.com, Syndicate-atom.com, TechNewsTube, OmniGaea.com, TechShow.com, Techbriefing.net),Lima showcases its mobile app for its Dropbox alternative (TechCrunch); CES coverage (CNET)",,,,online,en,lima,rumeur-publique-email,14aca8150ea23bdb,,mentioned,true,999,"Original TechCrunch/CNET article URLs not included in email, only syndicated re-posts across ~7 low-value aggregator/scraper sites; grouped into one row rather than fabricating separate confirmed entries"
2015-01-techcrunch-lima-mobile-app-ces,2015-01-04,TechCrunch,Lima Showcases Its Mobile App For Its Dropbox Alternative,https://techcrunch.com/2015/01/04/lima-showcases-its-mobile-app-for-its-dropbox-alternative/,https://techcrunch.com/2015/01/04/lima-showcases-its-mobile-app-for-its-dropbox-alternative/,https://techcrunch.com/wp-content/uploads/2015/01/lima2.jpg,online,en,lima,web-search,,,confirmed,false,2,Covers Lima's CES mobile-app demo; notes $1.2M Kickstarter plus $2.5M VC raised; quotes on how Lima syncs existing device folders rather than a dedicated 'Lima' folder.
2015-01-management-print-portrait-severin,2015-01-05,Management,Portrait de Séverin Marcombes (05/01/2015),,,,print,fr,severin-marcombes,rumeur-publique-email,14aca8150ea23bdb,050115_Management_PortraitSeverin.pdf,confirmed,true,999,Print portrait clipping of Séverin attached
2015-01-lefigaro-print-ces,2015-01-06,Le Figaro,Le Figaro du mardi 06 janvier 2015 - CES,,,,print,fr,lima,rumeur-publique-email,14aca8150ea23bdb,Le Figaro Du Mardi 06 Janvier 2015 - CES.pdf,confirmed,true,8,Print clipping attached by Rumeur Publique alongside CES coverage report
2015-02-sodigital-severin-marcombes-suite-dans-les-idees,2015-02-12,So Digital,"Séverin Marcombes, fondateur de Lima: de la suite dans les idées",https://sodigital.fr/severin-marcombes-lima-2/,https://sodigital.fr/severin-marcombes-lima-2/,,online,fr,severin-marcombes;lima,web-search,,,confirmed,true,999,"Founder profile; covers early inspiration at 13, Futur en Seine 2014 Jury Prize + two CES awards, 30,000 users by summer 2015 (45% over 55), and responds to backer-delay/fraud accusations."
2015-04-frenchweb-mit-technology-review-innovators-marcombes,2015-04-16,FrenchWeb,[Vidéos] Deux talents français qui ont tapé dans l'oeil du « MIT Technology Review »,https://www.frenchweb.fr/2-talents-francais-qui-ont-tape-dans-loeil-du-mit-technology-review/191055,https://www.frenchweb.fr/2-talents-francais-qui-ont-tape-dans-loeil-du-mit-technology-review/191055,https://i0.wp.com/www.frenchweb.fr/wp-content/uploads/2015/04/MIT-concours-2.jpeg?fit=650%2C363&ssl=1,online,fr,severin-marcombes;lima,web-search,,,confirmed,false,14,"Names Marcombes among the 10 French finalists for MIT Technology Review Innovators Under 35 (France), for his cloud-free cross-device storage system."
2015-05-crowdfundinsider-lima-1000th-device-delay,2015-05-23,Crowdfund Insider,Lima Delivers 1000th Device. Backers Grumble About Extensive Delay,https://www.crowdfundinsider.com/2015/05/68225-lima-delivers-1000th-device-backers-grumble-about-extensive-delay/,https://www.crowdfundinsider.com/2015/05/68225-lima-delivers-1000th-device-backers-grumble-about-extensive-delay/,https://www.crowdfundinsider.com/wp-content/uploads/2013/09/Organize-All-Files-Everywhere-with-Lima.png,online,en,lima,web-search,,,confirmed,false,6,"Covers 1000th unit shipped, 18 months late; notes CES recognition and $2.5M Series A alongside backer frustration over delays."
2015-05-journaldugeek-lima-kickstarter-2geeks-22emplois,2015-05-29,Journal du Geek,"Lima : ""Mon expérience sur Kickstarter : de 2 geeks à 22 emplois""",https://www.journaldugeek.com/2015/05/29/lima-mon-experience-sur-kickstarter-de-2-geeks-a-22-emplois/,https://www.journaldugeek.com/2015/05/29/lima-mon-experience-sur-kickstarter-de-2-geeks-a-22-emplois/,,online,fr,severin-marcombes;lima,web-search,,,confirmed,true,999,"Marcombes recounts scaling from 2 to 22 employees via Kickstarter; $1.2M from 12,840 backers in 138 countries; first French company to pass $1M on a crowdfunding platform."
2015-06-usine-digitale-portrait-severin-marcombes-innovateurs,2015-06,Usine Digitale,"Severin Marcombes, Lima - Découvrez les 10 jeunes innovateurs français de l'année",https://www.usine-digitale.fr/photos/portraits/decouvrez-les-10-jeunes-innovateurs-francais-de-l-annee.325763/severin-marcombes-lim.7,https://www.usine-digitale.fr/photos/portraits/decouvrez-les-10-jeunes-innovateurs-francais-de-l-annee.325763/severin-marcombes-lim.7,,online,fr,severin-marcombes;lima,web-search,,,mentioned,true,999,"WebFetch returned HTTP 403; search snippet confirms this is Marcombes' portrait card (age 27) within Usine Digitale's MIT Innovators Under 35 France 2015 slideshow, describing Lima's device-unification pitch."
2015-07-techcrunch-lima-finally-ships-kickstarter-backers,2015-07-21,TechCrunch,"Lima Finally Ships Its Dropbox Alternative To Its Kickstarter Backers, Sort Of",https://techcrunch.com/2015/07/21/lima-finally-ships-its-dropbox-alternative-to-its-kickstarter-backers-sort-of/,https://techcrunch.com/2015/07/21/lima-finally-ships-its-dropbox-alternative-to-its-kickstarter-backers-sort-of/,https://techcrunch.com/wp-content/uploads/2015/01/lima.jpg,online,en,lima,web-search,,,confirmed,false,2,"Covers hardware shipping to all 12,840 backers two years after the campaign, with full software/file-system integration still pending until September; frames it as a cautionary tale about launching crowdfunding too early."
2015-09-latribune-lima-top5-innovations,2015-09-11,La Tribune,Lima cité parmi les cinq meilleures innovations françaises en objets connectés,,,,print,fr,lima,rumeur-publique-email,14fbbc40ea9a1dc4,2015-09-11~1278@LA_TRIBUNE_HEBDO.pdf,confirmed,true,9,References OpinionWay study and Lima's CES Award/Kickstarter success
2015-11-entreprendre-dossier-startup,2015-11-07,Entreprendre,Dossier start-up: les meilleures start-up de la French Tech (Lima listed p.10),,,,print,fr,lima,rumeur-publique-email,150ebe2c60618e0c,2015-11-07~1925@ENTREPRENDRE.pdf,confirmed,true,999,Monthly magazine dossier profiling 14 of 30 listed startups; Lima included
2015-11-lsanews-ces-innovation-awards,2015-11-16,LSA News,CES Innovation Awards 2016 (Lima mentioned),,,,print,fr,lima,rumeur-publique-email,1511f68bae2099af,2015-11-16~1431@LSA_NEWS.pdf,confirmed,true,999,Reprise of CES 2016 Innovation Awards announcement
2015-11-strategies-edito-lima,2015-11-18,Stratégies,Edito on the difficulty of building a connected-object business (Lima cited as success story in final paragraph),,,,print,fr,lima,rumeur-publique-email,1511f68bae2099af,2015-11-18~1078@STRATEGIES.pdf,confirmed,true,999,Lima used as closing example of successful execution
